timestamp,symbol,timeframe,open,high,low,close,volume,open_interest
2026-01-02T09:15:00+05:30,NIFTY,5m,26000.0,26050.0,25980.0,26030.0,120000,1500000
2026-01-02T09:20:00+05:30,NIFTY,5m,26030.0,26070.0,26020.0,26050.0,95000,1520000
2026-01-02T09:25:00+05:30,NIFTY,5m,26050.0,26080.0,26030.0,26040.0,80000,1515000
2026-01-02T09:30:00+05:30,NIFTY,5m,26040.0,26060.0,25990.0,26010.0,110000,1530000
2026-01-02T09:35:00+05:30,NIFTY,5m,26010.0,26040.0,26000.0,26035.0,75000,1540000
2026-01-02T09:40:00+05:30,NIFTY,5m,26035.0,26090.0,26020.0,26080.0,130000,1560000
2026-01-02T09:10:00+05:30,NIFTY,5m,25980.0,26010.0,25970.0,26000.0,60000,1490000
2026-01-02T09:20:00+05:30,NIFTY,5m,26030.0,26070.0,26020.0,26050.0,95000,1520000
2026-01-02T09:45:00+05:30,NIFTY,5m,26080.0,26100.0,26070.0,-26090.0,85000,1570000

